time	V(n002)	I(R2)
0.000000000000000e+000	0.000000e+000	0.000000e+000
4.571428442139744e-009	1.168981e-006	-1.335876e-009
9.142856884279487e-009	2.403999e-006	-2.341570e-009
1.371428532641923e-008	3.705053e-006	-3.017084e-009
1.828571376855898e-008	5.072143e-006	-3.362416e-009
2.285714221069872e-008	6.505269e-006	-3.377567e-009
2.742857065283846e-008	8.004432e-006	-3.062538e-009
3.199999909497819e-008	9.569630e-006	-2.417327e-009
1.669339558877588e-005	5.243791e-003	-3.000334e-009
3.335479117845679e-005	1.047799e-002	-3.599365e-009
5.001618676813769e-005	1.571216e-002	-4.214421e-009
6.667758235781860e-005	2.094630e-002	-4.845500e-009
8.333897794749951e-005	2.618042e-002	-5.492602e-009
1.000003735371804e-004	3.141451e-002	-6.155729e-009
1.166617691268613e-004	3.664858e-002	-6.834880e-009
1.736112556529673e-004	5.453839e-002	-9.428103e-009
2.451909758972298e-004	7.702287e-002	-1.322669e-008
3.285593786531480e-004	1.032080e-001	-1.816724e-008
4.416077610725248e-004	1.387093e-001	-2.455697e-008
6.321997063998875e-004	1.985449e-001	-3.250867e-008
8.377878283460468e-004	2.630599e-001	-3.726875e-008
1.246991544599377e-003	3.913276e-001	-4.287669e-008
1.448476898348370e-003	4.543974e-001	-5.349368e-008
1.630475708779853e-003	5.112978e-001	-8.696271e-008
1.829477518508129e-003	5.734219e-001	-1.869940e-007
2.034498615249987e-003	6.372966e-001	-4.540476e-007
2.265234455431187e-003	7.088086e-001	-1.792352e-006
2.726706135793588e-003	8.501865e-001	-1.072545e-005
3.000879347818266e-003	9.315704e-001	-2.774701e-005
3.231184275804507e-003	9.952983e-001	-6.397862e-005
3.464073189045581e-003	1.052295e+000	-1.367164e-004
3.705295016197662e-003	1.100511e+000	-2.648186e-004
4.035196009140540e-003	1.149276e+000	-5.233890e-004
4.523477259140540e-003	1.199627e+000	-1.010494e-003
4.985044232197891e-003	1.232612e+000	-1.538301e-003
